AIFT-Forge	20260626-231954	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954	module	node	package.json
AIFT-Forge	AIFT-Forge	/data/data/com.termux/files/home/AIFT/AIFT-Forge	module	node	package.json
AIFT-Forge	AIFT-Forge	/data/data/com.termux/files/home/AIFT/AIFT-Forge	workspace	pnpm-workspace	pnpm-workspace.yaml
AIFT-Forge	android	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954/apps/android	module	node	package.json
AIFT-Forge	android	/data/data/com.termux/files/home/AIFT/AIFT-Forge/apps/android	module	node	package.json
AIFT-Forge	desktop	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954/apps/desktop	module	node	package.json
AIFT-Forge	desktop	/data/data/com.termux/files/home/AIFT/AIFT-Forge/apps/desktop	module	node	package.json
AIFT-Forge	forge-agent-runtime	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954/packages/forge-agent-runtime	module	node	package.json
AIFT-Forge	forge-agent-runtime	/data/data/com.termux/files/home/AIFT/AIFT-Forge/packages/forge-agent-runtime	module	node	package.json
AIFT-Forge	forge-api	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954/apps/forge-api	module	node	package.json
AIFT-Forge	forge-api	/data/data/com.termux/files/home/AIFT/AIFT-Forge/apps/forge-api	module	node	package.json
AIFT-Forge	forge-core	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954/packages/forge-core	module	node	package.json
AIFT-Forge	forge-core	/data/data/com.termux/files/home/AIFT/AIFT-Forge/packages/forge-core	module	node	package.json
AIFT-Forge	product-web	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954/apps/product-web	module	node	package.json
AIFT-Forge	product-web	/data/data/com.termux/files/home/AIFT/AIFT-Forge/apps/product-web	module	node	package.json
AIFT-Forge	wallet-core	/data/data/com.termux/files/home/AIFT/AIFT-Forge/.forge/platform-backups/20260626-231954/packages/wallet-core	module	node	package.json
AIFT-Forge	wallet-core	/data/data/com.termux/files/home/AIFT/AIFT-Forge/packages/wallet-core	module	node	package.json
AIFT-Genesis	genesis-web	/data/data/com.termux/files/home/AIFT/AIFT-Genesis/apps/genesis-web	module	node	package.json
AIFT-OS	AIFT-OS	/data/data/com.termux/files/home/AIFT/AIFT-OS	module	go	go.mod
AIFT-OS	AIFT-OS	/data/data/com.termux/files/home/AIFT/AIFT-OS	module	make	Makefile
AIFT-OS	AIFT-OS	/data/data/com.termux/files/home/AIFT/AIFT-OS	module	node	package.json
AIFT-OS	AIFT-OS	/data/data/com.termux/files/home/AIFT/AIFT-OS	workspace	pnpm-workspace	pnpm-workspace.yaml
AIFT-OS	aift-os-landing	/data/data/com.termux/files/home/AIFT/AIFT-OS/artifacts/aift-os-landing	module	node	package.json
AIFT-OS	api-client-react	/data/data/com.termux/files/home/AIFT/AIFT-OS/lib/api-client-react	module	node	package.json
AIFT-OS	api-server	/data/data/com.termux/files/home/AIFT/AIFT-OS/artifacts/api-server	module	node	package.json
AIFT-OS	api-spec	/data/data/com.termux/files/home/AIFT/AIFT-OS/lib/api-spec	module	node	package.json
AIFT-OS	api-zod	/data/data/com.termux/files/home/AIFT/AIFT-OS/lib/api-zod	module	node	package.json
AIFT-OS	db	/data/data/com.termux/files/home/AIFT/AIFT-OS/lib/db	module	node	package.json
AIFT-OS	mockup-sandbox	/data/data/com.termux/files/home/AIFT/AIFT-OS/artifacts/mockup-sandbox	module	node	package.json
AIFT-OS	scripts	/data/data/com.termux/files/home/AIFT/AIFT-OS/scripts	module	node	package.json
Aether_Coin_biozonecurrency	Aether_Coin_biozonecurrency	/data/data/com.termux/files/home/AIFT/Aether_Coin_biozonecurrency	module	node	package.json
Aether_Coin_biozonecurrency	api-gateway	/data/data/com.termux/files/home/AIFT/Aether_Coin_biozonecurrency/api-gateway	module	node	package.json
Aether_Coin_biozonecurrency	deps	/data/data/com.termux/files/home/AIFT/Aether_Coin_biozonecurrency/.vite/deps	module	node	package.json
Aether_Coin_biozonecurrency	quantum-validator	/data/data/com.termux/files/home/AIFT/Aether_Coin_biozonecurrency/quantum-validator	module	node	package.json
BookSmith-Federation-OS	BookSmith-Federation-OS	/data/data/com.termux/files/home/AIFT/BookSmith-Federation-OS	module	node	package.json
BookSmith-Federation-OS	BookSmith-Federation-OS	/data/data/com.termux/files/home/AIFT/BookSmith-Federation-OS	workspace	pnpm-workspace	pnpm-workspace.yaml
BookSmith-Federation-OS	federation-core	/data/data/com.termux/files/home/AIFT/BookSmith-Federation-OS/packages/federation-core	module	node	package.json
BookSmith-Federation-OS	marketplace-core	/data/data/com.termux/files/home/AIFT/BookSmith-Federation-OS/packages/marketplace-core	module	node	package.json
BookSmith-Federation-OS	storage-core	/data/data/com.termux/files/home/AIFT/BookSmith-Federation-OS/packages/storage-core	module	node	package.json
BookSmith-Federation-OS	web-os	/data/data/com.termux/files/home/AIFT/BookSmith-Federation-OS/apps/web-os	module	node	package.json
OpenMontage	OpenMontage	/data/data/com.termux/files/home/AIFT/OpenMontage	module	make	Makefile
OpenMontage	remotion-composer	/data/data/com.termux/files/home/AIFT/OpenMontage/remotion-composer	module	node	package.json
VPS	VPS	/data/data/com.termux/files/home/AIFT/VPS	module	node	package.json
VPS	aift-dashboard	/data/data/com.termux/files/home/AIFT/VPS/apps/aift-dashboard	module	node	package.json
VPS	aift-desktop	/data/data/com.termux/files/home/AIFT/VPS/apps/aift-desktop	module	node	package.json
VPS	aift-node-agent	/data/data/com.termux/files/home/AIFT/VPS/apps/aift-node-agent	module	node	package.json
VPS	vite-react	/data/data/com.termux/files/home/AIFT/VPS/templates/vite-react	module	node	package.json
biozone-harmony-boost	biozone-harmony-boost	/data/data/com.termux/files/home/AIFT/biozone-harmony-boost	module	node	package.json
booksmith-ai	booksmith-ai	/data/data/com.termux/files/home/AIFT/booksmith-ai	module	node	package.json
c-848263	c-848263	/data/data/com.termux/files/home/AIFT/c-848263	module	node	package.json
capital-city-provisions	capital-city-provisions	/data/data/com.termux/files/home/AIFT/capital-city-provisions	module	node	package.json
repo	module	path	kind	manager	manifest
repo-brainstorm-backend-forge	repo-brainstorm-backend-forge	/data/data/com.termux/files/home/AIFT/repo-brainstorm-backend-forge	module	node	package.json
tastycutz	tastycutz	/data/data/com.termux/files/home/AIFT/tastycutz	module	node	package.json
